"binomial","P50","Ks","lat","lon","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","mean_temp","nspp","site_name","mat","a_m","map_reanalysis_scaled","storm_freq_scaled","mean_storm_size_scaled","mean_temp_scaled"
"Schefflera macrocarpa",-1.72,2.14,-15.933,-47.883,-0.542324290825362,0.76080582903376,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,16.3,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Dalbergia miscolobium",NA,NA,-15.933,-47.883,NA,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,9.8,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Aspidosperma tomentosum",NA,3.04333333333333,-15.933,-47.883,NA,1.11295340593877,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Symplocos lanceolata",-1.5,1.62,-15.933,-47.883,-0.405465108108164,0.482426149244293,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Guapira areolata",NA,8.1,-15.933,-47.883,NA,2.09186406167839,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Protium sp",NA,7.4,-15.933,-47.883,NA,2.00148000021012,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Qualea grandiflora",NA,NA,-15.933,-47.883,NA,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Myrsine guianensis",-2.12,2,-15.933,-47.883,-0.751416088683921,0.693147180559945,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Ouratea hexasperma",-1.48,0.96,-15.933,-47.883,-0.392042087776024,-0.0408219945202552,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,9.7,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Miconia pohliana",-3.1,4.73,-15.933,-47.883,-1.1314021114911,1.55392520250384,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Myrsine ferruginea",-3.08,3.25,-15.933,-47.883,-1.12492959698548,1.17865499634165,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Eriotheca pubescens",NA,3.73666666666667,-15.933,-47.883,NA,1.31819394841596,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Styrax ferrugineus",-3.35,2.59,-15.933,-47.883,-1.20896034583698,0.951657875711446,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Styrax pohlii",-2,3.45,-15.933,-47.883,-0.693147180559945,1.23837423104327,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Guapira noxia",NA,3.68666666666667,-15.933,-47.883,NA,1.30472270742608,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Hymenaea martiana",-2.8,2.94,-15.933,-47.883,-1.02961941718116,1.07840958135059,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Guarea guidonia",NA,7.7,-15.933,-47.883,NA,2.04122032885964,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Sclerolobium paniculatum",NA,NA,-15.933,-47.883,NA,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,15.52,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Miconia cuspidata",-3.4,5.37,-15.933,-47.883,-1.22377543162212,1.68082790852077,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Caryocar brasiliense",-1.48,2.67,-15.933,-47.883,-0.392042087776024,0.982078472412158,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Erythroxylum suberosum",NA,0.41,-15.933,-47.883,NA,-0.891598119283784,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Hymenaea stigonocarpa",-3.17,3.59,-15.933,-47.883,-1.15373158788919,1.27815220250019,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Qualea parviflora",-1.65,0.94,-15.933,-47.883,-0.500775287912489,-0.0618754037180875,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,10.4,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Blepharocalyx salicifolius",-1.72,2.28,-15.933,-47.883,-0.542324290825362,0.824175442966349,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Symplocos mosenii",-1.6,4.78,-15.933,-47.883,-0.470003629245736,1.56444054650336,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Kielmeyera coriacea",NA,0.93,-15.933,-47.883,NA,-0.0725706928348354,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,26,"BR_IBGE",21,11.5,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Symplocos mosenii",-1.6,4.78,-15.9333333333333,-47.8833333333333,-0.470003629245736,1.56444054650336,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
"Aegiphila Ihotzkiana",NA,6.17,-15.9333333333333,-47.8833333333333,NA,1.8196988379173,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,21.8795418364382,12,"",NA,NA,0.652692313261816,0.591759897863197,0.348796611812643,0.674758108632899
