"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","sd_map","log_P50","log_Ks","mean_storm_size","median_storm_size","sd_storm_size","storm_freq","map_reanalysis","a_m","mean_temp"
"1","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa",-1.72,-0.27,-3.95,2.14,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.542324290825362,0.76080582903376,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,16.3,21.8795418364382
"2","Fabaceae","Dalbergia","miscolobium","Dalbergia miscolobium",NA,NA,NA,NA,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,NA,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,9.8,21.8795418364382
"3","Apocynaceae","Aspidosperma","tomentosum","Aspidosperma tomentosum",NA,NA,NA,3.55,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,1.26694760348732,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"4","Symplocaceae","Symplocos","lanceolata","Symplocos lanceolata",-1.5,NA,NA,1.62,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.405465108108164,0.482426149244293,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"5","Nyctaginaceae","Guapira","areolata","Guapira areolata",NA,NA,NA,8.1,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,2.09186406167839,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"6","Burseraceae","Protium","sp","Protium sp",NA,NA,NA,7.4,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,2.00148000021012,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"7","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora",NA,NA,NA,2.05,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,0.717839793150317,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,11.9,21.8795418364382
"8","Myrsinaceae","Myrsine","guianensis","Myrsine guianensis",-2.12,NA,NA,2,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.751416088683921,0.693147180559945,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"9","Ochnaceae","Ouratea","hexasperma","Ouratea hexasperma",-1.48,-0.3,-4.6,0.96,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.392042087776024,-0.0408219945202552,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,9.7,21.8795418364382
"10","Melastomataceae","Miconia","pohliana","Miconia pohliana",-3.1,NA,NA,4.73,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.1314021114911,1.55392520250384,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"11","Myrsinaceae","Myrsine","ferruginea","Myrsine ferruginea",-3.08,NA,NA,3.25,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.12492959698548,1.17865499634165,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"12","Malvaceae","Eriotheca","pubescens","Eriotheca pubescens",NA,NA,NA,4.21,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,1.43746264769429,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"13","Styracaceae","Styrax","ferrugineus","Styrax ferrugineus",-3.35,NA,NA,2.59,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-1.20896034583698,0.951657875711446,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"14","Styracaceae","Styrax","pohlii","Styrax pohlii",-2,NA,NA,3.45,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,-0.693147180559945,1.23837423104327,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
"15","Nyctaginaceae","Guapira","noxia","Guapira noxia",NA,NA,NA,4.8,"IBGE Ecological Reserve","Brasil",-15.933,-47.883,21,"TRS","BR_IBGE",1500,235,207,193,115,32,8,9,11,44,158,226,261,1554,0.0662669583149081,NA,1.56861591791385,12.869021644919,8.7426417990884,12.7839531439208,9.98622379192781,1568.73100351865,NA,21.8795418364382
