"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","id","a_m","sd_map","log_P50","log_Ks","latlon"
"16","Sapindaceae","Acer","grandidentatum","Acer grandidentatum",-4,NA,NA,NA,"Wasatch Mountains, Utah","USA",40.05,-111.783,NA,"","USA_Ut_Wasatch_1",393,33,33,41,42,38,23,20,26,30,37,36,34,433,16,NA,0.017532761753467,-1.38629436111989,NA,"40.05-111.783"
"18","Sapindaceae","Acer","rubrum","Acer rubrum",-3.3,NA,NA,NA,"Piedmont of North Carolina","USA",35.967,-79.133,NA,"","USA_Nc_Piedmont",1162,97,96,106,82,106,101,114,113,92,87,83,85,1162,18,NA,0.00975598307550746,-1.19392246847243,NA,"35.967-79.133"
"20","Rosaceae","Prunus","virginiana","Prunus virginiana",-3.8,NA,NA,NA,"Wasatch Mountains, Utah","USA",40.05,-111.783,NA,"","USA_Ut_Wasatch_1",393,33,33,41,42,38,23,20,26,30,37,36,34,433,20,NA,0.017532761753467,-1.33500106673234,NA,"40.05-111.783"
"22","Pinaceae","Abies","concolor","Abies concolor",-5.153,-3.249,-6.356,NA,"Wasatch Mountains, Utah, Red Butte Canyon","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_6",667,74,71,70,67,53,34,25,33,44,55,67,75,667,22,NA,0.0266461456526992,-1.63957906934609,NA,"40.8-111.767"
"23","Pinaceae","Abies","concolor","Abies concolor",-4.51,NA,-5.295,NA,"Wasatch Mountains, Utah, Red Butte Canyon","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_6",667,74,71,70,67,53,34,25,33,44,55,67,75,667,23,NA,0.0266461456526992,-1.50629715351459,NA,"40.8-111.767"
"24","Pinaceae","Pseudotsuga","menziesii","Pseudotsuga menziesii",-4.596,-2.203,-5.728,NA,"Wasatch Mountains, Utah, Parley's Summit and Big Cottonwood Canyon","USA",40.75,-111.6,NA,"","USA_Ut_Cottonwood",747,87,83,80,72,53,35,30,37,47,60,78,86,747,24,NA,0.0285656506439611,-1.52518635998651,NA,"40.75-111.6"
"27","Pinaceae","Pseudotsuga","menziesii","Pseudotsuga menziesii",-5.04,-3.201,-6.144,NA,"Wasatch Mountains, Utah, Parley's Summit and Big Cottonwood Canyon","USA",40.75,-111.6,NA,"","USA_Ut_Cottonwood",747,87,83,80,72,53,35,30,37,47,60,78,86,747,27,NA,0.0285656506439611,-1.61740608208328,NA,"40.75-111.6"
"28","Pinaceae","Pseudotsuga","menziesii","Pseudotsuga menziesii",-4.43,NA,-5.173,NA,"Wasatch Mountains, Utah, Parley's Summit and Big Cottonwood Canyon","USA",40.75,-111.6,NA,"","USA_Ut_Cottonwood",747,87,83,80,72,53,35,30,37,47,60,78,86,747,28,NA,0.0285656506439611,-1.48839958405704,NA,"40.75-111.6"
"29","Betulaceae","Betula","occidentalis","Betula occidentalis",-1.831,-0.431,-2.462,NA,"Red Butte Canyon, Utah","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_7",667,74,71,70,67,53,34,25,33,44,55,67,75,667,29,NA,0.0266461456526992,-0.604862265692374,NA,"40.8-111.767"
"30","Betulaceae","Betula","occidentalis","Betula occidentalis",-1.522,-0.741,-1.863,NA,"Red Butte Canyon, Utah","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_7",667,74,71,70,67,53,34,25,33,44,55,67,75,667,30,NA,0.0266461456526992,-0.420025259439494,NA,"40.8-111.767"
